"Almora Jr., Albert",R,
"Arauz, Jonathan",R,
"Knizner, Andrew",R,
"Alvarez, Eddy",L,
"Mathias, Mark",R,
"Duggar, Steven",L,
"Machin, Vimael",L,
"Bote, David",R,
Batter,Bat Side,
"Galvis, Freddy",R,
"Arozarena, Randy",R,
"Chavis, Michael",R,
"Torrens, Luis",R,
"Kendrick, Howie",R,
"Quinn, Roman",L,
"Trevino, Jose",R,
"Villar, Jonathan",R,
"Butera, Drew",R,
"Plawecki, Kevin",R,
"Hernandez, Cesar",R,
"Gonzalez, Marwin",R,
"Molina, Yadier",R,
"Braun, Ryan",R,
"Rosario, Amed",R,
Batter,Bat Side,
"Arraez, Luis",L,
"Castro, Willi",R,
"Urshela, Gio",R,
"Harrison, Monte",R,
"Margot, Manuel",R,
"Toro, Abraham",R,
"Nido, Tomas",R,
"Lewis, Kyle",R,
"Bogaerts, Xander",R,
"Barreto, Franklin",R,
"Hernandez, Yadiel",L,
"Stallings, Jacob",R,
"Dubon, Mauricio",R,
"Bohm, Alec",R,
"Kieboom, Carter",R,
Batter,Bat Side,
"Pinder, Chad",R,
"DeShields, Delino",R,
"Camargo, Johan",R,
"Jeffers, Ryan",R,
"Turner, Trea",R,
"Gosselin, Phil",R,
"Diaz, Yandy",R,
"Cespedes, Yoenis",R,
"Taylor, Chris",R,
"Flores, Wilmer",R,
"Heredia, Guillermo",R,
"Valaika, Pat",R,
"Solak, Nick",R,
"Mullins, Cedric",R,
"Peraza, Jose",R,
Batter,Bat Side,
"Osuna, Jose",R,
"Owings, Chris",R,
"Hampson, Garrett",R,
"Taveras, Leody",R,
"Mountcastle, Ryan",R,
"Reynolds, Bryan",R,
"Hicks, Aaron",R,
"Estrada, Thairo",R,
"Ramos, Wilson",R,
"Mendick, Danny",R,
"Urias, Luis",R,
"Berti, Jon",R,
"Garcia, Luis",L,
"Strange-Gordon, Dee",L,
"Bonifacio, Jorge",R,
Batter,Bat Side,
"Segura, Jean",R,
"Perez, Roberto",R,
"Andrus, Elvis",R,
"Merrifield, Whit",R,
"Bichette, Bo",R,
"Cooper, Garrett",R,
"Gonzalez, Erik",R,
"LeMahieu, DJ",R,
"Anderson, Tim",R,
"Reyes, Victor",R,
"Paredes, Isaac",R,
"Hamilton, Billy",R,
"Hechavarria, Adeiny",R,
"Heath, Nick",L,
"Leon, Sandy",R,
Batter,Bat Side,
"Arcia, Orlando",R,
"Straw, Myles",R,
"Hill, Derek",R,
"Carlson, Dylan",R,
"Hermosillo, Michael",R,
"Santana, Danny",R,
"White, Eli",R,
"Hayes, Ke'Bryan",R,
"Madrigal, Nick",R,
"Sierra, Magneuris",L,
"Martinez, Jose",R,
"Kiner-Falefa, Isiah",R,
"Difo, Wilmer",L,
"Fowler, Dexter",R,
"Walton, Donovan",L,
Batter,Bat Side,
"Pence, Hunter",R,
"Cameron, Daz",R,
"Caratini, Victor",R,
"Tejeda, Anderson",R,
"Lopez, Nicky",L,
"Colon, Christian",R,
"Rojas, Miguel",R,
"Sanchez, Yolmer",L,
"Newman, Kevin",R,
"Grandal, Yasmani",R,
"Jankowski, Travis",L,
"Solano, Donovan",R,
"Urias, Ramon",R,
"Velazquez, Andrew",R,
"Sanchez, Ali",R,
Batter,Bat Side,
"Schrock, Max",L,
"Smith, Mallex",L,
"Quinn, Roman",R,
"Kirk, Alejandro",R,
"Alfaro, Jorge",R,
"Smith, Kevan",R,
"Alford, Anthony",R,
"Robertson, Daniel",R,
"Cain, Lorenzo",R,
"Heineman, Scott",R,
"Vazquez, Christian",R,
"Noll, Jake",R,
"Puello, Cesar",R,
"Hoerner, Nico",R,
"Oliva, Jared",R,
Batter,Bat Side,
"Gallagher, Cam",R,
"Alcantara, Sergio",L,
"Refsnyder, Rob",R,
"Diaz, Elias",R,
"Iglesias, Jose",R,
"Garcia, Leury",L,
"Arroyo, Christian",R,
"Reynolds, Matt",R,
"Lugo, Dawel",R,
"Eaton, Adam",L,
"Ramirez, Harold",R,
"Moncada, Yoan",R,
"Munoz, Yairo",R,
