last_name, first_name,year,n_bolts,hp_to_1b,sprint_speed,
Adrianza, Ehire,2020,0,,26.2,
Kieboom, Carter,2020,0,4.65,26.7,
Martinez, Jose,2020,0,4.66,26.6,
Longoria, Evan,2020,0,4.61,26.6,
Mendick, Danny,2020,0,4.64,26.0,
Strange-Gordon, Dee,2020,1,4.18,28.3,
Stassi, Max,2020,0,4.73,26.5,
Goodwin, Brian,2020,1,,28.1,
Cabrera, Miguel,2020,0,,23.2,
Martinez, J.D.,2020,0,4.73,25.9,
Abreu, Jose,2020,0,4.62,26.8,
Brinson, Lewis,2020,2,4.31,28.6,
Altuve, Jose,2020,18,4.22,28.4,
Narvaez, Omar,2020,0,,24.3,
Velazquez, Andrew,2020,1,,28.3,
