last_name, first_name,year,player_age,b_ab,b_total_hits,b_single,b_strikeout,batting_avg,b_hit_ground,b_hit_line_drive,b_out_ground,
Smith, Pavin,2020,24,37,10,8,8,.270,3,6,11,
Dyson, Jarrod,2020,36,61,11,11,11,.180,5,6,21,
Frazier, Adam,2020,29,209,48,34,35,.230,17,28,62,
Jeffers, Ryan,2020,23,55,15,12,19,.273,8,6,11,
Evans, Phillip,2020,28,39,14,11,7,.359,7,6,9,
Cave, Jake,2020,28,113,25,16,44,.221,8,12,27,
Diaz, Isan,2020,24,22,4,4,7,.182,1,3,6,
Gomes, Yan,2020,33,109,31,20,22,.284,8,18,25,
Andrus, Elvis,2020,32,103,20,12,15,.194,7,10,37,
Schwarber, Kyle,2020,27,191,36,19,66,.188,13,16,51,
Ramos, Wilson,2020,33,142,34,23,31,.239,9,20,50,
Escobar, Eduardo,2020,31,203,43,29,41,.212,13,27,50,
Nimmo, Brandon,2020,27,186,52,33,43,.280,19,29,49,
Myers, Wil,2020,30,198,57,26,56,.288,15,29,40,
Difo, Wilmer,2020,28,14,1,1,4,.071,0,1,3,
Toro, Abraham,2020,24,87,13,8,23,.149,4,6,28,
Taylor, Chris,2020,30,185,50,30,55,.270,17,28,46,
Lindor, Francisco,2020,27,236,61,40,41,.258,18,34,60,
Thaiss, Matt,2020,25,21,3,2,8,.143,1,2,5,
Fletcher, David,2020,26,207,66,50,25,.319,30,32,72,
Carpenter, Matt,2020,35,140,26,16,48,.186,4,16,31,
Garneau, Dustin,2020,33,38,6,4,15,.158,1,4,8,
Mejia, Erick,2020,26,14,1,0,7,.071,0,1,2,
Flowers, Tyler,2020,34,69,15,8,34,.217,4,11,7,
Brantley, Michael,2020,33,170,51,31,28,.300,18,24,50,
Basabe, Luis Alexander,2020,24,14,2,2,5,.143,1,0,4,
Muncy, Max,2020,30,203,39,23,60,.192,10,24,55,
Realmuto, J.T.,2020,29,173,46,29,48,.266,20,19,41,
Casali, Curt,2020,32,76,17,8,29,.224,3,8,9,
Souza Jr., Steven,2020,31,27,4,1,15,.148,1,3,2,
Gordon, Alex,2020,36,163,34,26,37,.209,8,23,51,
Zimmer, Bradley,2020,28,37,6,5,14,.162,4,1,8,
Duvall, Adam,2020,32,190,45,21,54,.237,8,25,33,
